"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","population_proper","density","source","incorporated","timezone","zips","id","EWG_City","PRIMACY_AGENCY_CODE","ins","del","sub"
"LaFollette","LaFollette","TN","Tennessee",47013,"Campbell",36.372,-84.1252,19220,6807,535,"polygon",TRUE,"America/New_York","37766",1840036150,"La Follette","TN",0,1,0
"La Vergne","La Vergne","TN","Tennessee",47149,"Rutherford",36.0209,-86.5574,35717,35717,551,"polygon",TRUE,"America/Chicago","37086 37089",1840014496,"Lavergne","TN",1,0,0
"McMinnville","McMinnville","TN","Tennessee",47177,"Warren",35.6863,-85.7812,15449,13662,476,"polygon",TRUE,"America/Chicago","37110 37111",1840015385,"Mcminnville","TN",0,0,0
"Madisonville","Madisonville","TN","Tennessee",47123,"Monroe",35.5234,-84.3637,5570,4730,294,"polygon",TRUE,"America/New_York","37354",1840015414,"Madison","TN",5,0,0
"East Ridge","East Ridge","TN","Tennessee",47065,"Hamilton",34.9973,-85.2285,21118,21118,984,"polygon",TRUE,"America/New_York","37412",1840013452,"Eastridge","TN",1,0,0
"Tascosa","Tascosa","TX","Texas",48359,"Oldham",35.5112,-102.2513,NA,NA,0.1,"point",FALSE,"America/Chicago","79010",1840033528,"Atascosa","TX",0,1,0
"Mankins","Mankins","TX","Texas",48009,"Archer",33.7826,-98.797,NA,NA,5.3,"point",FALSE,"America/Chicago","76366",1840036500,"Adkins","TX",1,0,1
"Hawkins","Hawkins","TX","Texas",48499,"Wood",32.5917,-95.2027,1305,1305,228,"polygon",TRUE,"America/Chicago","75765",1840020684,"Adkins","TX",1,0,1
"McKinney","McKinney","TX","Texas",48085,"Collin",33.2016,-96.6669,235134,181330,1046,"polygon",TRUE,"America/Chicago","75069 75070 75071 75072",1840020657,"Mckinney","TX",0,0,0
"McKinney Acres","McKinney Acres","TX","Texas",48003,"Andrews",32.2963,-102.5297,NA,NA,296.9,"polygon",FALSE,"America/Chicago","79714",1840037139,"Mckinney","TX",6,0,0
"DeSoto","DeSoto","TX","Texas",48113,"Dallas",32.5992,-96.8633,53568,53568,956,"polygon",TRUE,"America/Chicago","75115 75123",1840019441,"Desoto","TX",0,0,0
"McAllen","McAllen","TX","Texas",48215,"Hidalgo",26.2325,-98.2467,800904,142696,944,"polygon",TRUE,"America/Chicago","78573 78504 78503 78501 78502 78505",1840021024,"Mcallen","TX",0,0,0
"Porter Heights","Porter Heights","TX","Texas",48339,"Montgomery",30.1501,-95.3217,NA,NA,271.6,"polygon",FALSE,"America/Chicago","77365",1840019584,"Porter","TX",8,0,0
"La Porte","La Porte","TX","Texas",48201,"Harris",29.669,-95.0483,35371,35371,732,"polygon",TRUE,"America/Chicago","77571 77572",1840020932,"Porter","TX",3,1,0
"Airport Road Addition","Airport Road Addition","TX","Texas",48047,"Brooks",27.219,-98.0981,NA,NA,16,"polygon",FALSE,"America/Chicago","78355",1840018301,"Porter","TX",15,0,1
"West Valley City","West Valley City","UT","Utah",49035,"Salt Lake",40.6889,-112.0115,136170,136170,1482,"polygon",TRUE,"America/Denver","84119 84120 84128 84118 84125 84126 84127 84129 84130 84131 84170",1840021389,"West Valley","UT",5,0,0
"Devils Slide","Devils Slide","UT","Utah",49029,"Morgan",41.0636,-111.5433,NA,NA,0,"point",FALSE,"America/Denver","84018",1840033585,"Slc","UT",9,0,1
"Scofield","Scofield","UT","Utah",49007,"Carbon",39.7198,-111.1623,22,22,9,"polygon",TRUE,"America/Denver","84526",1840022440,"Slc","UT",5,0,1
"Halchita","Halchita","UT","Utah",49037,"San Juan",37.1314,-109.9131,NA,NA,110.8,"polygon",FALSE,"America/Denver","84531",1840037245,"Slc","UT",5,0,1
